"43","        Water transportation",14.7,14.6,14.4,14.0,13.6,8.1,8.0,8.7,8.9,10.1,10.9,14.1
"44","        Truck transportation",171.0,173.1,174.3,173.7,172.1,150.7,166.7,169.4,173.2,179.2,183.2,199.2
"45","        Transit and ground passenger transportation",55.1,52.8,54.0,53.7,50.1,28.9,33.8,36.8,36.6,41.2,45.1,47.0
"46","        Pipeline transportation",43.5,43.1,43.3,43.2,43.2,39.5,41.8,40.3,45.3,40.9,41.5,42.8
"47","        Other transportation and support activities",133.4,135.0,138.2,138.7,138.1,135.7,147.3,154.1,159.2,162.7,170.7,179.1
"48","        Warehousing and storage",72.7,75.6,76.7,79.2,78.6,74.6,80.6,85.6,86.9,90.0,90.1,92.9
"49","    Information",1098.4,1133.8,1146.6,1159.2,1158.9,1120.6,1186.6,1205.5,1240.0,1296.6,1305.5,1360.6
"50","        Publishing industries, except internet (includes software)",285.9,290.9,294.0,301.4,309.2,311.4,324.9,334.4,345.0,357.4,357.9,366.4
"51","        Motion picture and sound recording industries",84.6,88.0,87.5,87.7,84.2,56.6,66.7,73.1,74.9,84.6,93.6,109.6
"52","        Broadcasting and telecommunications",463.9,468.7,473.0,471.3,464.4,452.8,462.9,457.8,463.4,469.8,465.3,481.6
"53","        Data processing, internet publishing, and other information services",264.0,286.2,292.1,298.8,301.1,299.9,332.1,340.2,356.7,384.9,388.7,403.1
"54","    Finance, insurance, real estate, rental, and leasing",4356.3,4431.7,4474.8,4543.3,4542.9,4491.7,4627.2,4706.8,4749.9,4844.8,4920.7,5024.7
"55","        Finance and insurance",1644.6,1676.1,1680.0,1730.8,1715.1,1751.1,1802.9,1881.9,1892.6,1936.3,1965.7,2003.6
"56","            Federal Reserve banks, credit intermediation, and related activities",703.8,714.6,724.4,750.3,743.2,765.6,791.6,823.5,827.5,858.2,865.1,866.0
"57","            Securities, commodity contracts, and investments",331.5,333.3,323.9,330.4,332.6,334.4,335.1,363.4,369.8,386.6,405.6,415.9
"58","            Insurance carriers and related activities",584.0,602.5,606.5,625.0,615.5,627.0,650.2,668.6,669.5,664.2,668.6,694.4
"59","            Funds, trusts, and other financial vehicles",25.2,25.7,25.2,25.2,23.9,24.1,26.0,26.5,25.8,27.3,26.4,27.3
"60","        Real estate and rental and leasing",2711.7,2755.6,2794.9,2812.5,2827.7,2740.6,2824.3,2824.8,2857.3,2908.6,2955.0,3021.1
"61","            Real estate",2457.3,2488.9,2517.7,2537.9,2559.4,2537.8,2578.8,2576.3,2599.2,2623.9,2659.3,2716.9
"62","                Housing",1950.9,1970.6,1989.1,2009.9,2033.4,2048.4,2058.6,2062.2,2075.7,2100.0,2127.7,2162.9
"63","                Other real estate",506.4,518.3,528.5,528.0,526.0,489.4,520.2,514.1,523.5,523.9,531.6,554.0
"64","            Rental and leasing services and lessors of intangible assets",254.4,266.7,277.2,274.5,268.3,202.8,245.5,248.5,258.1,284.7,295.7,304.2
"65","    Professional and business services",2684.8,2717.3,2751.1,2772.0,2758.1,2536.2,2692.0,2772.8,2854.4,2925.1,3005.1,3109.1
"66","        Professional, scientific, and technical services",1614.4,1633.6,1659.4,1672.6,1669.3,1548.3,1632.1,1661.3,1702.9,1754.4,1798.7,1863.4
"67","            Legal services",275.8,279.5,287.6,288.5,286.7,271.6,279.2,289.4,299.3,296.3,303.3,307.5
"68","            Computer systems design and related services",370.5,371.9,369.6,370.0,372.5,358.4,364.4,371.1,379.2,389.0,396.8,405.8
"69","            Miscellaneous professional, scientific, and technical services",968.0,982.3,1002.2,1014.1,1010.2,918.2,988.4,1000.8,1024.4,1069.1,1098.6,1150.1
"70","        Management of companies and enterprises",409.7,412.9,411.2,413.5,412.0,399.1,403.7,427.0,431.1,431.7,438.3,435.7
"71","        Administrative and waste management services",660.7,670.7,680.5,685.9,676.7,588.9,656.2,684.5,720.3,739.0,768.1,810.0
"72","            Administrative and support services",602.3,611.4,620.5,625.5,615.8,533.9,594.9,622.4,657.3,675.1,703.9,743.5
"73","            Waste management and remediation services",58.4,59.3,60.0,60.3,61.0,55.0,61.3,62.1,63.1,63.8,64.2,66.5
"74","    Educational services, health care, and social assistance",1840.3,1863.5,1882.9,1899.0,1870.8,1611.7,1842.6,1869.3,1884.2,1911.0,1942.2,1994.2
"75","        Educational services",271.6,275.7,277.1,275.8,271.9,240.1,250.7,242.5,247.7,254.3,261.4,266.8
"76","        Health care and social assistance",1568.7,1587.8,1605.8,1623.2,1598.9,1371.6,1591.9,1626.8,1636.5,1656.7,1680.7,1727.4
"77","            Ambulatory health care services",768.7,778.1,785.8,790.7,771.7,613.4,773.5,795.5,799.9,810.6,814.2,837.9
"78","            Hospitals",504.4,510.3,516.0,523.5,515.6,478.4,526.1,532.0,533.8,537.5,552.9,566.0
"79","            Nursing and residential care facilities",155.1,156.3,157.7,159.9,162.1,154.0,150.3,153.7,155.1,156.3,158.5,161.4
"80","            Social assistance",140.5,143.2,146.3,149.1,149.5,125.8,142.0,145.7,147.7,152.2,155.3,162.0
"81","    Arts, entertainment, recreation, accommodation, and food services",891.7,906.1,924.8,934.2,849.2,473.7,677.3,688.1,716.1,820.5,887.1,934.7
"82","        Arts, entertainment, and recreation",232.9,236.5,243.3,251.2,228.9,107.8,150.8,166.0,172.9,185.4,204.0,220.9
"83","            Performing arts, spectator sports, museums, and related activities",139.5,141.6,147.3,153.0,135.5,63.2,76.3,90.1,93.3,96.1,112.1,125.3
"84","            Amusements, gambling, and recreation industries",93.4,94.9,96.0,98.1,93.3,44.6,74.5,75.9,79.6,89.3,91.9,95.6
"85","        Accommodation and food services",658.8,669.6,681.4,683.1,620.3,365.9,526.5,522.2,543.2,635.1,683.0,713.9
"86","            Accommodation",181.6,184.0,187.2,187.3,167.9,72.3,111.6,111.2,117.5,153.2,180.2,190.9
"87","            Food services and drinking places",477.2,485.6,494.3,495.8,452.4,293.5,414.9,410.9,425.7,481.9,502.8,522.9
"88","    Other services, except government",445.5,450.1,457.1,464.9,455.5,368.1,423.3,429.0,425.8,443.2,454.9,467.9
"89","Government",2588.2,2604.2,2633.7,2661.1,2697.2,2630.9,2668.9,2685.4,2705.4,2742.7,2806.0,2836.2
"90","    Federal",803.4,807.0,814.3,821.0,831.1,843.1,858.5,860.7,866.5,875.1,886.4,897.8
"91","        General government",741.7,745.7,752.5,757.8,765.6,776.7,792.2,795.5,803.0,812.9,822.4,833.4
"92","            National defense",426.4,428.8,432.4,436.2,439.5,446.0,450.2,454.8,461.1,466.2,470.7,476.1
"93","            Nondefense",315.3,316.9,320.2,321.7,326.1,330.8,341.9,340.7,341.9,346.7,351.7,357.3
"94","        Government enterprises",61.7,61.3,61.8,63.2,65.5,66.4,66.3,65.2,63.5,62.2,64.1,64.5
"95","    State and local",1784.7,1797.2,1819.4,1840.0,1866.1,1787.8,1810.4,1824.7,1838.9,1867.6,1919.5,1938.4
"96","        General government",1631.4,1643.2,1664.8,1684.8,1713.1,1666.2,1689.6,1688.7,1696.4,1721.2,1768.2,1785.3
"97","        Government enterprises",153.3,154.0,154.6,155.2,153.0,121.7,120.8,136.0,142.6,146.5,151.3,153.1
"","    Addenda:","","","","","","","","","","","",""
"98","            Private goods-producing industries1",3691.2,3739.1,3741.4,3759.6,3693.6,3169.9,3574.5,3659.8,3842.8,3995.9,4073.1,4297.1
"99","            Private services-producing industries2",14722.2,14946.0,15130.0,15273.8,15090.6,13676.6,14895.2,15132.4,15490.0,16002.4,16323.3,16869.5
"100","            Information-communications-technology-producing industries3","---","---","---","---","---","---","---","---","---","---","---","---"
"Legend / Footnotes:"
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
"Note. Detail may not add to total due to rounding."
